37 *C
Temperature: 29.12 *C
Temperature: 28.60 *C
Temperature: 28.44 *C
Temperature: 26.76 *C
Temperature: 26.06 *C
Temperature: 28.20 *C
Temperature: 28.36 *C
Temperature: 29.57 *C
Temperature: 28.47 *C
Temperature: 26.27 *C
Temperature: 28.12 *C
Temperature: 28.27 *C
Temperature: 28.11 *C
Temperature: 28.07 *C
Temperature: 27.09 *C
Temperature: 27.61 *C
Temperature: 28.07 *C
Temperature: 27.63 *C
Temperature: 28.24 *C
Temperature: 28.20 *C
Temperature: 29.35 *C
Temperature: 29.55 *C
Temperature: 27.94 *C
Temperature: 27.80 *C
Temperature: 27.94 *C
Temperature: 28.96 *C
Temperature: 27.36 *C
Temperature: 30.45 *C
Temperature: 28.63 *C
Temperature: 27.71 *C
Temperature: 26.94 *C
Temperature: 26.33 *C
Temperature: 27.32 *C
Temperature: 28.65 *C
Temperature: 28.47 *C
Temperature: 28.46 *C
Temperature: 28.24 *C
Temperature: 28.02 *C
Temperature: 27.32 *C
Temperature: 27.78 *C
Temperature: 27.60 *C
Temperature: 27.88 *C
Temperature: 27.62 *C
Temperature: 27.80 *C
Temperature: 28.64 *C
Temperature: 27.98 *C
Temperature: 26.65 *C
Temperature: 27.46 *C
Temperature: 27.53 *C
Temperature: 29.52 *C
Temperature: 27.86 *C
Temperature: 26.53 *C
Temperature: 28.70 *C
Temperature: 26.01 *C
Temperature: 27.42 *C
Temperature: 30.96 *C
Temperature: 27.15 *C
Temperature: 28.07 *C
Temperature: 28.49 *C

Temperature: 26.33 *C
Temperature: 26.94 *C
e: 26.65 *C
Temperature: 26.38 *C
Temperature: 26.37 *C
Temperature: 26.22 *C
Temperature: 26.33 *C
Temperature: 26.94 *C
Temperature: 26.41 *C
Temperature: 26.68 *C
Temperature: 27.56 *C
Temperature: 26.66 *C
Temperature: 26.33 *C
Temperature: 26.10 *C
Temperature: 27.18 *C
Temperature: 26.28 *C
Temperature: 26.72 *C
Temperature: 27.13 *C
Temperature: 27.11 *C
Temperature: 26.06 *C
Temperature: 32.91 *C
Temperature: 31.57 *C
Temperature: 31.90 *C
Temperature: 32.09 *C
Temperature: 36.01 *C
Temperature: 31.42 *C
Temperature: 35.59 *C
Temperature: 32.66 *C
Temperature: 32.07 *C
Temperature: 28.52 *C
Temperature: 31.06 *C
Temperature: 31.21 *C
Temperature: 31.10 *C
Temperature: 31.06 *C
Temperature: 29.81 *C
Temperature: 31.98 *C
Temperature: 23.55 *C
Temperature: 23.47 *C
Temperature: 23.47 *C
Temperature: 23.47 *C
Temperature: 23.47 *C
Temperature: 23.38 *C
Temperature: 23.38 *C
Temperature: 23.29 *C
Temperature: 23.29 *C
Temperature: 23.29 *C
Temperature: 23.25 *C
Temperature: 23.25 *C
